[2024-11-21 22:55:47,267] multiqc                                            [DEBUG  ]  This is MultiQC v1.21
[2024-11-21 22:56:01,799] multiqc                                            [DEBUG  ]  No samples found: custom_content
[2024-11-21 22:56:33,567] multiqc.modules.fastqc.fastqc                      [INFO   ]  Found 315 reports
[2024-11-21 22:56:33,572] multiqc.utils.util_functions                       [DEBUG  ]  Wrote data file multiqc_fastqc.txt
[2024-11-21 22:56:37,086] multiqc.plots.plotly.heatmap                       [DEBUG  ]  Resizing from 495x3465 to fit the maximum size 900x500
[2024-11-21 22:56:37,086] multiqc.plots.plotly.heatmap                       [DEBUG  ]  Heatmap size: 900x500, px per element: 81.82x1.59
[2024-11-21 22:56:37,251] multiqc.utils.software_versions                    [DEBUG  ]  Reading software versions from config.software_versions
[2024-11-21 22:56:37,268] multiqc.utils.util_functions                       [DEBUG  ]  Wrote data file multiqc_software_versions.txt
[2024-11-21 22:56:37,272] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for '% Dups': sample number is 315 > True. Will add interactive points only for the outlier values.
[2024-11-21 22:56:37,273] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for '% Dups': found 5 outliers
[2024-11-21 22:56:37,273] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for '% GC': sample number is 315 > True. Will add interactive points only for the outlier values.
[2024-11-21 22:56:37,273] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 2.0, trying a lower cutoff: 1.8, metric: '% GC'
[2024-11-21 22:56:37,273] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.8, trying a lower cutoff: 1.6, metric: '% GC'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.6, trying a lower cutoff: 1.4, metric: '% GC'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.4, trying a lower cutoff: 1.2, metric: '% GC'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for '% GC': found 2 outliers
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for 'Average Read Length': sample number is 315 > True. Will add interactive points only for the outlier values.
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 2.0, trying a lower cutoff: 1.8, metric: 'Average Read Length'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.8, trying a lower cutoff: 1.6, metric: 'Average Read Length'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.6, trying a lower cutoff: 1.4, metric: 'Average Read Length'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.4, trying a lower cutoff: 1.2, metric: 'Average Read Length'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.2, trying a lower cutoff: 1.0, metric: 'Average Read Length'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.0, trying a lower cutoff: 0.8, metric: 'Average Read Length'
[2024-11-21 22:56:37,274] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for 'Average Read Length': found 0 outliers
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for 'Median Read Length': sample number is 315 > True. Will add interactive points only for the outlier values.
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 2.0, trying a lower cutoff: 1.8, metric: 'Median Read Length'
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.8, trying a lower cutoff: 1.6, metric: 'Median Read Length'
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.6, trying a lower cutoff: 1.4, metric: 'Median Read Length'
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.4, trying a lower cutoff: 1.2, metric: 'Median Read Length'
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.2, trying a lower cutoff: 1.0, metric: 'Median Read Length'
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 1.0, trying a lower cutoff: 0.8, metric: 'Median Read Length'
[2024-11-21 22:56:37,275] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for 'Median Read Length': found 0 outliers
[2024-11-21 22:56:37,276] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for '% Failed': sample number is 315 > True. Will add interactive points only for the outlier values.
[2024-11-21 22:56:37,276] multiqc.plots.plotly.violin                        [DEBUG  ]  No outliers found with Z-score cutoff 2.0, trying a lower cutoff: 1.8, metric: '% Failed'
[2024-11-21 22:56:37,276] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for '% Failed': found 1 outliers
[2024-11-21 22:56:37,276] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for 'M Seqs': sample number is 315 > True. Will add interactive points only for the outlier values.
[2024-11-21 22:56:37,277] multiqc.plots.plotly.violin                        [DEBUG  ]  Violin for 'M Seqs': found 2 outliers
[2024-11-21 22:56:37,523] multiqc.utils.util_functions                       [DEBUG  ]  Wrote data file multiqc_general_stats.txt
[2024-11-21 22:56:37,524] multiqc                                            [DEBUG  ]  Compressing plot data
[2024-11-21 22:56:41,798] multiqc.utils.util_functions                       [DEBUG  ]  Wrote data file multiqc_data.json
[2024-11-21 22:56:41,799] multiqc                                            [INFO   ]  Report      : multiqc_raw/multiqc_report.html
[2024-11-21 22:56:41,800] multiqc                                            [INFO   ]  Data        : multiqc_raw/multiqc_data
[2024-11-21 22:56:41,800] multiqc                                            [DEBUG  ]  Moving data file from '/tmp/tmpd3kf344m/multiqc_data' to '/hb/home/snbogan/WGBS/CrossPhox_WGBS/multiqc_raw/multiqc_data'
[2024-11-21 22:56:41,854] multiqc                                            [DEBUG  ]  Full report path: /hb/home/snbogan/WGBS/CrossPhox_WGBS/multiqc_raw/multiqc_report.html
[2024-11-21 22:56:42,981] multiqc                                            [INFO   ]  MultiQC complete
